validation_day,gate_min,lambda,W,n_blended
2025-09-07,480,0.3,0.8915253827701126,18
2025-09-07,480,0.4,0.8929873105743028,18
2025-09-07,600,0.05,0.886624154690867,17
2025-09-07,600,0.1,0.8876014478822514,17
2025-09-07,600,0.15,0.8887551557662194,17
2025-09-07,600,0.2,0.8899041979198518,17
2025-09-07,600,0.3,0.8920382543679212,17
2025-09-07,600,0.4,0.8937892216039844,17
2025-09-07,720,0.05,0.8868191380944086,16
2025-09-07,720,0.1,0.8880365391984166,16
2025-09-07,720,0.15,0.8894291043497184,16
2025-09-07,720,0.2,0.8908309743718792,16
2025-09-07,720,0.3,0.893445914898896,16
2025-09-07,720,0.4,0.8956878520415243,16
2025-09-07,840,0.05,0.8866550442247267,15
2025-09-07,840,0.1,0.8877030075139924,15
2025-09-07,840,0.15,0.8889871538733247,15
2025-09-07,840,0.2,0.8903744318446568,15
2025-09-07,840,0.3,0.89292431335441,15
2025-09-07,840,0.4,0.8951633768465592,15
2025-09-07,960,0.05,0.886580094643576,14
2025-09-07,960,0.1,0.8875206031699046,14
2025-09-07,960,0.15,0.8886794396060242,14
2025-09-07,960,0.2,0.889866252861835,14
2025-09-07,960,0.3,0.8920811701300188,14
2025-09-07,960,0.4,0.8941907830378227,14
2025-09-07,1200,0.05,0.8865247633997069,4
2025-09-07,1200,0.1,0.8871291076634494,4
2025-09-07,1200,0.15,0.8875471749807669,4
2025-09-07,1200,0.2,0.8878347571013658,4
2025-09-07,1200,0.3,0.8878676223857784,4
2025-09-07,1200,0.4,0.8875523471842159,4
