dataset,validation_day,variable,sample_index,residual
GEO,2025-09-07,z_error (m),42,27.094316278999997
GEO,2025-09-07,z_error (m),43,-2.304717569
GEO,2025-09-07,z_error (m),44,21.794976049
GEO,2025-09-07,z_error (m),45,-13.575083711
GEO,2025-09-07,z_error (m),46,21.131036029
GEO,2025-09-07,z_error (m),47,7.559192971
GEO,2025-09-07,z_error (m),48,10.366610728000001
GEO,2025-09-07,z_error (m),49,5.393204557
GEO,2025-09-07,z_error (m),50,5.953208254
GEO,2025-09-07,z_error (m),51,5.525425353
GEO,2025-09-07,z_error (m),52,5.830582801
GEO,2025-09-07,satclockerror (m),0,1.226894638
GEO,2025-09-07,satclockerror (m),1,1.083032542
GEO,2025-09-07,satclockerror (m),2,-0.177859341
GEO,2025-09-07,satclockerror (m),3,-3.037456953
GEO,2025-09-07,satclockerror (m),4,-3.739726032
GEO,2025-09-07,satclockerror (m),5,-2.664481048
GEO,2025-09-07,satclockerror (m),6,3.717873559
GEO,2025-09-07,satclockerror (m),7,0.024438871
GEO,2025-09-07,satclockerror (m),8,0.486873654
GEO,2025-09-07,satclockerror (m),9,0.40452612200000004
GEO,2025-09-07,satclockerror (m),10,-5.019767907
GEO,2025-09-07,satclockerror (m),11,9.824385439
GEO,2025-09-07,satclockerror (m),12,-4.989231437000001
GEO,2025-09-07,satclockerror (m),13,0.213674586
GEO,2025-09-07,satclockerror (m),14,0.269843761
GEO,2025-09-07,satclockerror (m),15,0.161301473
GEO,2025-09-07,satclockerror (m),16,0.052786526
GEO,2025-09-07,satclockerror (m),17,0.471053037
GEO,2025-09-07,satclockerror (m),18,-3.576858772
GEO,2025-09-07,satclockerror (m),19,0.192388302
GEO,2025-09-07,satclockerror (m),20,3.651345026
GEO,2025-09-07,satclockerror (m),21,0.32382565
GEO,2025-09-07,satclockerror (m),22,0.161301473
GEO,2025-09-07,satclockerror (m),23,0.05278655600000001
GEO,2025-09-07,satclockerror (m),24,0.611193479
GEO,2025-09-07,satclockerror (m),25,-0.06552887599999999
GEO,2025-09-07,satclockerror (m),26,0.611193479
GEO,2025-09-07,satclockerror (m),27,-0.009359700999999998
GEO,2025-09-07,satclockerror (m),28,-3.840780373
GEO,2025-09-07,satclockerror (m),29,23.503186918
GEO,2025-09-07,satclockerror (m),30,-23.256345132
GEO,2025-09-07,satclockerror (m),31,4.655309345999999
GEO,2025-09-07,satclockerror (m),32,0.347271908
GEO,2025-09-07,satclockerror (m),33,-4.312482461
GEO,2025-09-07,satclockerror (m),34,4.597497757999999
GEO,2025-09-07,satclockerror (m),35,0.440504964
