validation_day,window_hours,horizon_lo,horizon_hi,bias_type,shrinkage,W,champion_W,delta_W
2025-09-05,48,360,720.0,mean,0.25,0.6611339570813368,0.9221173930801292,-0.26098343599879237
2025-09-05,48,360,720.0,mean,0.5,0.6087945696097061,0.9221173930801292,-0.31332282347042306
2025-09-05,48,360,720.0,mean,0.75,0.590326577554772,0.9221173930801292,-0.33179081552535716
2025-09-05,48,360,720.0,mean,1.0,0.580922566454038,0.9221173930801292,-0.34119482662609124
2025-09-05,48,360,720.0,median,0.25,0.6559108702149716,0.9221173930801292,-0.26620652286515756
2025-09-05,48,360,720.0,median,0.5,0.6059374705449889,0.9221173930801292,-0.31617992253514027
2025-09-05,48,360,720.0,median,0.75,0.5883742379272837,0.9221173930801292,-0.33374315515284547
2025-09-05,48,360,720.0,median,1.0,0.5794416980750713,0.9221173930801292,-0.3426756950050579
2025-09-05,48,720,1200.0,mean,0.25,0.6719164173945444,0.9221173930801292,-0.25020097568558475
2025-09-05,48,720,1200.0,mean,0.5,0.6402267724778178,0.9221173930801292,-0.2818906206023114
2025-09-05,48,720,1200.0,mean,0.75,0.6295501976276408,0.9221173930801292,-0.29256719545248844
2025-09-05,48,720,1200.0,mean,1.0,0.6241969086470008,0.9221173930801292,-0.29792048443312835
2025-09-05,48,720,1200.0,median,0.25,0.673437408401828,0.9221173930801292,-0.2486799846783012
2025-09-05,48,720,1200.0,median,0.5,0.6410039055832262,0.9221173930801292,-0.281113487496903
2025-09-05,48,720,1200.0,median,0.75,0.6300708800882692,0.9221173930801292,-0.29204651299186
2025-09-05,48,720,1200.0,median,1.0,0.624588258918823,0.9221173930801292,-0.2975291341613062
2025-09-05,48,1200,inf,mean,0.25,0.582636706470852,0.9221173930801292,-0.3394806866092772
2025-09-05,48,1200,inf,mean,0.5,0.5674579635804119,0.9221173930801292,-0.3546594294997173
2025-09-05,48,1200,inf,mean,0.75,0.5623573883043865,0.9221173930801292,-0.35976000477574266
2025-09-05,48,1200,inf,mean,1.0,0.5598002379272808,0.9221173930801292,-0.36231715515284835
2025-09-05,48,1200,inf,median,0.25,0.5825879330260308,0.9221173930801292,-0.33952946005409834
2025-09-05,48,1200,inf,median,0.5,0.5674337010378598,0.9221173930801292,-0.35468369204226935
2025-09-05,48,1200,inf,median,0.75,0.5623412634197381,0.9221173930801292,-0.3597761296603911
